origin_lga,dest_lga,hour_of_day,day_type,peak_period,n_trips,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon
Greater Geelong,Casey,9,Weekday,AM_Peak,1090,Geelong West,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,10,Weekday,Off_Peak,1117,Mount Duneed,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Tooradin,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,10,Weekend,Off_Peak,413,Lara,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde (Vic.),Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,11,Weekday,Off_Peak,755,Little River (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde (Vic.),Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,11,Weekend,Off_Peak,344,Bell Park,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Endeavour Hills,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,12,Weekend,Off_Peak,201,Geelong West,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,12,Weekday,Off_Peak,439,Portarlington,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,13,Weekday,Off_Peak,301,Portarlington,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,13,Weekend,Off_Peak,105,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,14,Weekday,Off_Peak,165,Portarlington,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,14,Weekend,Off_Peak,69,Geelong,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Hampton Park,Melbourne,-38.06111031151929,145.30117652760546
